127.0.0.1 - - [16/Jan/2019:20:44:53 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [16/Jan/2019:20:44:55 +0900] "GET /HelloJSP/total-error.jsp HTTP/1.1" 500 2652
0:0:0:0:0:0:0:1 - - [16/Jan/2019:20:46:42 +0900] "GET /HelloJSP/total-error.jsp HTTP/1.1" 500 2859
0:0:0:0:0:0:0:1 - - [16/Jan/2019:20:47:37 +0900] "GET /HelloJSP/total-out.jsp HTTP/1.1" 500 3216
0:0:0:0:0:0:0:1 - - [16/Jan/2019:20:47:57 +0900] "GET /HelloJSP/total-error.jsp HTTP/1.1" 500 2859
0:0:0:0:0:0:0:1 - - [16/Jan/2019:20:49:53 +0900] "GET /HelloJSP/total-error.jsp HTTP/1.1" 500 2859
0:0:0:0:0:0:0:1 - - [16/Jan/2019:21:07:26 +0900] "GET /HelloJSP/total-error.jsp HTTP/1.1" 500 2882
0:0:0:0:0:0:0:1 - - [16/Jan/2019:21:08:33 +0900] "GET /HelloJSP/ HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [16/Jan/2019:21:09:02 +0900] "GET /HelloJSP/ HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [16/Jan/2019:21:09:32 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [16/Jan/2019:21:09:45 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [16/Jan/2019:21:10:03 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 500 3440
